product_canonical,bucket_start,count,wow_change,z_score
enalapril,2022-03-14 00:00:00+00:00,2.0,-0.5,-1.507556722888818
enalapril,2022-03-21 00:00:00+00:00,4.0,1.0,1.0
enalapril,2022-03-28 00:00:00+00:00,8.0,1.0,5.0
enalapril,2022-04-04 00:00:00+00:00,8.0,0.0,1.6059101370939322
enalapril,2022-04-18 00:00:00+00:00,9.0,0.125,1.3471506281091268
enalapril,2022-04-25 00:00:00+00:00,12.0,0.3333333333333333,2.4735893086356535
enalapril,2022-05-02 00:00:00+00:00,2.0,-0.8333333333333334,-4.422458539645535
enalapril,2022-05-09 00:00:00+00:00,3.0,0.5,-1.308013942560877
enalapril,2022-05-16 00:00:00+00:00,4.0,0.3333333333333333,-0.601929265428846
enalapril,2022-05-23 00:00:00+00:00,15.0,2.75,2.4616581720814326
enalapril,2022-05-30 00:00:00+00:00,11.0,-0.26666666666666666,0.9534625892455924
enalapril,2022-06-06 00:00:00+00:00,2.0,-0.8181818181818182,-1.257886513566569
enalapril,2022-06-13 00:00:00+00:00,5.0,1.5,-0.5720775535473553
enalapril,2022-06-20 00:00:00+00:00,1.0,-0.8,-1.430464508634271
enalapril,2022-06-27 00:00:00+00:00,6.0,5.0,0.3207501495497921
enalapril,2022-07-04 00:00:00+00:00,2.0,-0.6666666666666666,-0.7276068751089989
enalapril,2022-07-18 00:00:00+00:00,6.0,2.0,1.212678125181665
enalapril,2022-07-25 00:00:00+00:00,7.0,0.16666666666666666,1.4269353798659745
enalapril,2022-08-01 00:00:00+00:00,1.0,-0.8571428571428571,-2.213211486674006
enalapril,2022-08-08 00:00:00+00:00,3.0,2.0,-0.3922322702763681
enalapril,2022-08-15 00:00:00+00:00,12.0,3.0,3.249682993837947
enalapril,2022-08-29 00:00:00+00:00,12.0,0.0,1.48609574569441
enalapril,2022-09-05 00:00:00+00:00,5.0,-0.5833333333333334,-0.39605901719066977
enalapril,2022-09-12 00:00:00+00:00,20.0,3.0,2.9541957835039856
